day,generated_factual_cases
0,2.863661527633667
1,7.397792279720306
2,7.636430740356445
3,7.397792279720306
4,7.875069200992584
5,12.170561492443085
6,19.56835377216339
7,3.5795769095420837
8,7.1591538190841675
9,14.556946098804474
10,19.091076850891113
11,17.89788454771042
12,19.091076850891113
13,17.42060762643814
14,17.42060762643814
15,18.613799929618835
16,18.613799929618835
17,14.795584559440613
18,27.920699894428253
19,33.886661410331726
20,22.19337683916092
21,6.204599976539612
22,6.204599976539612
23,7.636430740356445
24,6.204599976539612
25,6.443238437175751
26,11.454646110534668
27,5.488684594631195
28,22.670653760433197
29,11.454646110534668
30,6.920515358448029
31,8.352346122264862
32,10.97736918926239
33,17.42060762643814
34,17.65924608707428
35,6.920515358448029
36,9.545538425445557
37,7.875069200992584
38,8.113707661628723
39,14.318307638168335
40,8.352346122264862
41,11.216007649898529
42,17.42060762643814
43,15.27286148071289
44,15.750138401985168
45,13.841030716896057
46,16.466053783893585
47,18.136523008346558
48,9.545538425445557
49,9.068261504173279
50,16.704692244529724
51,10.261453807353973
52,10.500092267990112
53,9.068261504173279
54,5.965961515903473
55,26.72750759124756
56,4.2954922914505005
57,3.340938448905945
58,5.250046133995056
59,5.011407673358917
60,5.488684594631195
61,5.250046133995056
62,4.534130752086639
63,8.82962304353714
64,8.590984582901001
65,6.920515358448029
66,4.772769212722778
67,5.965961515903473
68,10.022815346717834
69,10.738730728626251
70,18.136523008346558
71,19.091076850891113
72,10.97736918926239
73,19.80699223279953
74,16.943330705165863
75,49.398161351680756
76,33.64802294969559
77,33.64802294969559
78,29.113892197608948
79,22.909292221069336
80,79.22796893119812
81,53.21637672185898
82,68.25059974193573
83,59.89825361967087
84,44.864030599594116
85,70.39834588766098
86,50.82999211549759
87,59.89825361967087
88,99.03496116399765
89,143.18307638168335
90,149.86495327949524
91,40.807176768779755
92,44.38675367832184
93,87.1030381321907
94,78.75069200992584
95,92.11444580554962
96,65.6255766749382
97,126.00110721588135
98,86.38712275028229
99,54.88684594631195
100,54.40956902503967
101,55.12548440694809
102,67.77332282066345
103,75.88703048229218
104,60.852807462215424
105,68.48923820257187
106,74.69383817911148
107,72.06881511211395
108,67.05740743875504
109,120.98969954252243
110,94.26219195127487
111,73.73928433656693
112,31.738915264606476
113,31.977553725242615
114,26.48886913061142
115,58.70506131649017
116,29.113892197608948
117,37.46623831987381
118,32.216192185878754
119,54.40956902503967
120,31.738915264606476
121,32.45483064651489
122,46.53449982404709
123,31.977553725242615
124,32.93210756778717
125,33.64802294969559
126,16.466053783893585
127,17.181969165802002
128,22.670653760433197
129,10.738730728626251
130,26.966146051883698
131,20.761546075344086
132,15.51149994134903
133,13.36375379562378
134,10.738730728626251
135,9.784176886081696
136,9.545538425445557
137,8.82962304353714
138,5.727323055267334
139,11.693284571170807
140,12.886476874351501
141,9.068261504173279
142,9.068261504173279
143,7.1591538190841675
144,5.488684594631195
145,12.886476874351501
146,4.772769212722778
147,5.965961515903473
148,3.340938448905945
149,4.056853830814362
150,4.056853830814362
151,4.056853830814362
152,2.386384606361389
153,4.056853830814362
154,7.636430740356445
155,3.340938448905945
156,4.056853830814362
157,3.102299988269806
158,2.1477461457252502
159,2.1477461457252502
160,4.534130752086639
161,3.340938448905945
162,3.102299988269806
163,5.011407673358917
164,2.863661527633667
165,3.340938448905945
166,3.102299988269806
167,3.5795769095420837
